center,dice,iou,sensitivity,specificity
Albacete,0.8799238804919541,0.7901569925968244,0.8705476294824767,0.9867826514363611
Barcelona,0.9265435909920552,0.8645457624688501,0.9126142172812153,0.9921833540026568
Caceres,0.8273456813586954,0.7494755752168657,0.7947169644023883,0.9911630752037608
Getafe,0.9299700389128517,0.8731251346725121,0.9248083196669149,0.9920277960980445
Goya_Madrid,0.9346428660149562,0.8793755266134038,0.9367647532992951,0.9891385390197901
Guadalajara,0.9093079552407225,0.8397480093164077,0.9605404577046097,0.9859952701768789
La_Paz,0.885104371858534,0.8030188139853983,0.8488987980125768,0.9919313156052985
Navarra,0.8582876927838877,0.775939595783651,0.8766941860484241,0.9816756930992985
Salamanca,0.9349943756355995,0.8796076868630507,0.9443025573096431,0.9912326472357168
