center,dice,iou,sensitivity,specificity
Albacete,0.88348920001317,0.7989440066577624,0.8970535859246832,0.982037540761429
Barcelona,0.9160380632694202,0.8486496638023524,0.8908987134699946,0.9927466093442392
Caceres,0.8298880863740141,0.7536056005297782,0.8020937444997792,0.990607228867062
Getafe,0.9358387459504213,0.8815081479546363,0.9474508014010207,0.9896060514896634
Goya_Madrid,0.9289741460602172,0.8699107403890376,0.9478443722569715,0.9865336514148183
Guadalajara,0.8801903075888236,0.7923043862397309,0.9619062945869726,0.9782680012475531
La_Paz,0.8478762240270367,0.7502387762061196,0.8152257656581048,0.9873467746220543
Navarra,0.8477938243330004,0.7532725259783604,0.8540148843878796,0.9800541559666958
Salamanca,0.9277000919155599,0.867006311307102,0.907029370070124,0.9941554600619554
